Nom du Médicament,Prix (CDF),Date d’Expiration,Forme,Stock Disponible
Paracétamol 100mg,7072,07/2027,Sirop,208
Paracétamol 1000mg,8744,01/2027,Gélule,234
Metformine 1000mg,6054,09/2027,Comprimé,471
Loperamide 250mg,9764,05/2028,Gélule,210
Efferalgan 250mg,4540,12/2027,Sirop,171
Flagyl 100mg,8221,12/2026,Sirop,256
Doliprane 500mg,4922,01/2028,Comprimé,330
Augmentin 1000mg,3499,06/2028,Aérosol,168
Amoxicilline 250mg,4768,01/2027,Sirop,399
Doxycycline 100mg,5589,12/2025,Aérosol,466
Vitamine C 500mg,4839,02/2028,Comprimé,36
Zithromax 500mg,2112,12/2025,Comprimé,375
Flagyl 250mg,6919,01/2028,Sachet,378
Salbutamol 500mg,1444,05/2027,Sirop,79
Ibuprofène 1000mg,8002,01/2028,Sirop,262
Loperamide 250mg,4154,06/2027,Injection,295
Diclofénac 500mg,8018,01/2027,Comprimé,240
Chloroquine 1000mg,3514,06/2028,Aérosol,163
Ceftriaxone 250mg,1207,05/2027,Comprimé,204
Doxycycline 500mg,5753,06/2026,Injection,193
Ceftriaxone 250mg,2771,01/2028,Sachet,447
Chloroquine 500mg,8934,04/2026,Aérosol,306
Augmentin 1000mg,6803,08/2027,Gélule,91
Oméprazole 100mg,8400,06/2028,Sirop,420
Doxycycline 1000mg,4127,11/2025,Sachet,479
Oméprazole 1000mg,7646,06/2027,Aérosol,450
Smecta 250mg,9268,04/2028,Sachet,406
Smecta 100mg,5111,05/2027,Sirop,125
Ceftriaxone 500mg,4845,01/2026,Comprimé,496
Doliprane 750mg,8679,01/2027,Aérosol,467
Amoxicilline 500mg,2734,12/2027,Sirop,425
Ventoline 1000mg,9046,02/2027,Injection,280
Paracétamol 250mg,5620,07/2026,Sirop,142
Ibuprofène 1000mg,1829,06/2027,Gélule,335
Chloroquine 750mg,3321,12/2026,Sirop,153
Prednisolone 750mg,7984,11/2025,Comprimé,494
Zithromax 750mg,2649,02/2028,Comprimé,77
Diclofénac 250mg,5268,05/2027,Sachet,49
Zithromax 250mg,2477,02/2027,Comprimé,89
Zithromax 250mg,4813,05/2026,Sachet,169
Smecta 250mg,7485,01/2028,Gélule,153
Paracétamol 500mg,3858,05/2026,Comprimé,324
Oméprazole 100mg,5228,08/2026,Sirop,74
Hydroxychloroquine 500mg,5347,05/2027,Aérosol,83
Hydroxychloroquine 500mg,7443,02/2026,Injection,72
